,Myo_timestamp,Myo_onArm,Myo_xdir,Myo_whichArm,Myo_isUnlocked,Myo_rssi,Myo_currentPose,Myo_emg_0,Myo_emg_1,Myo_emg_2,Myo_emg_3,Myo_emg_4,Myo_emg_5,Myo_emg_6,Myo_emg_7,Myo_roll,Myo_pitch,Myo_yaw,Myo_accel_x,Myo_accel_y,Myo_accel_z,Myo_gyro_x,Myo_gyro_y,Myo_gyro_z,Kinect_time,Kinect_leftEye_X,Kinect_leftEye_Y,Kinect_rightEye_X,Kinect_rightEye_Y,Kinect_nose_X,Kinect_nose_Y,Kinect_mouthLeft_X,Kinect_mouthLeft_Y,Kinect_mouthRight_X,Kinect_mouthRight_Y,Kinect_face_Left,Kinect_face_Right,Kinect_face_Top,Kinect_face_Bottom,Kinect_face_roll,Kinect_face_pitch,Kinect_face_yaw,Kinect_FaceProperty_Happy,Kinect_FaceProperty_Engaged,Kinect_FaceProperty_WearingGlasses,Kinect_FaceProperty_LeftEyeClosed,Kinect_FaceProperty_RightEyeClosed,Kinect_FaceProperty_MouthOpen,Kinect_FaceProperty_MouthMoved,Kinect_FaceProperty_LookingAway,Kinect_JointType_SpineBase_X,Kinect_JointType_SpineBase_Y,Kinect_JointType_SpineBase_Z,Kinect_JointType_SpineMid_X,Kinect_JointType_SpineMid_Y,Kinect_JointType_SpineMid_Z,Kinect_JointType_Neck_X,Kinect_JointType_Neck_Y,Kinect_JointType_Neck_Z,Kinect_JointType_Head_X,Kinect_JointType_Head_Y,Kinect_JointType_Head_Z,Kinect_JointType_ShoulderLeft_X,Kinect_JointType_ShoulderLeft_Y,Kinect_JointType_ShoulderLeft_Z,Kinect_JointType_ElbowLeft_X,Kinect_JointType_ElbowLeft_Y,Kinect_JointType_ElbowLeft_Z,Kinect_JointType_WristLeft_X,Kinect_JointType_WristLeft_Y,Kinect_JointType_WristLeft_Z,Kinect_JointType_HandLeft_X,Kinect_JointType_HandLeft_Y,Kinect_JointType_HandLeft_Z,Kinect_JointType_ShoulderRight_X,Kinect_JointType_ShoulderRight_Y,Kinect_JointType_ShoulderRight_Z,Kinect_JointType_ElbowRight_X,Kinect_JointType_ElbowRight_Y,Kinect_JointType_ElbowRight_Z,Kinect_JointType_WristRight_X,Kinect_JointType_WristRight_Y,Kinect_JointType_WristRight_Z,Kinect_JointType_HandRight_X,Kinect_JointType_HandRight_Y,Kinect_JointType_HandRight_Z,Kinect_JointType_HipLeft_X,Kinect_JointType_HipLeft_Y,Kinect_JointType_HipLeft_Z,Kinect_JointType_KneeLeft_X,Kinect_JointType_KneeLeft_Y,Kinect_JointType_KneeLeft_Z,Kinect_JointType_AnkleLeft_X,Kinect_JointType_AnkleLeft_Y,Kinect_JointType_AnkleLeft_Z,Kinect_JointType_FootLeft_X,Kinect_JointType_FootLeft_Y,Kinect_JointType_FootLeft_Z,Kinect_JointType_HipRight_X,Kinect_JointType_HipRight_Y,Kinect_JointType_HipRight_Z,Kinect_JointType_KneeRight_X,Kinect_JointType_KneeRight_Y,Kinect_JointType_KneeRight_Z,Kinect_JointType_AnkleRight_X,Kinect_JointType_AnkleRight_Y,Kinect_JointType_AnkleRight_Z,Kinect_JointType_FootRight_X,Kinect_JointType_FootRight_Y,Kinect_JointType_FootRight_Z,Kinect_JointType_SpineShoulder_X,Kinect_JointType_SpineShoulder_Y,Kinect_JointType_SpineShoulder_Z,Kinect_JointType_HandTipLeft_X,Kinect_JointType_HandTipLeft_Y,Kinect_JointType_HandTipLeft_Z,Kinect_JointType_ThumbLeft_X,Kinect_JointType_ThumbLeft_Y,Kinect_JointType_ThumbLeft_Z,Kinect_JointType_HandTipRight_X,Kinect_JointType_HandTipRight_Y,Kinect_JointType_HandTipRight_Z,Kinect_JointType_ThumbRight_X,Kinect_JointType_ThumbRight_Y,Kinect_JointType_ThumbRight_Z,Kinect_leftHandState,Kinect_rightHandState,Kinect_lean_X,Kinect_lean_Y,Kinect_audio_angle,Kinect_audio_confidence,Epoc_Counter,Epoc_AF3,Epoc_F7,Epoc_F3,Epoc_FC5,Epoc_T7,Epoc_P7,Epoc_O1,Epoc_O2,Epoc_P8,Epoc_T8,Epoc_FC6,Epoc_F4,Epoc_F8,Epoc_AF4,Epoc_GYROX,Epoc_GYROY,Epoc_Timestamp,Epoc_FUNC_ID,Epoc_FUNC_VALUE,Epoc_MARKER,Epoc_SYNC_SIGNAL,Epoc_Engagement,Epoc_Frustration,Epoc_Meditation,Epoc_Excitement,Epoc_Valence
count,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0,20451.0
mean,512.879113862,1.0,1.0,0.0,0.0115886753704,-65.5079947191,16365.3241895,-0.944354799276,-1.05579189282,-1.09906606034,-1.06082832135,-1.10732971493,-1.03002298176,-0.893110361352,-0.915700943719,-0.340139494027,-0.563108471646,0.00948510794211,0.486541307295,-0.312245351626,0.694611258958,-0.00671628379858,-0.00851003664631,0.00450924353986,512.99144345,774.164228937,222.220004058,807.749393233,224.118941714,798.750902988,248.033611804,772.797151533,263.488292015,801.846504621,265.235928219,849.414796342,950.935210992,236.481492348,336.064153342,-1.92904992421,-7.31186739035,-21.3490293873,0.478998581976,1.07818688573,0.6229035255,0.769937900347,0.70730037651,0.56046159112,0.617084739133,2.28658745294,-0.00811447054223,-0.431951537431,1.40102116082,-0.00508640302535,-0.130046527844,1.36153381546,-0.00205498987847,0.160886414058,1.30488639626,0.0373257557371,0.265999866058,1.2848496274,-0.161516053516,0.060333193933,1.26177917999,-0.241165135332,-0.158489651065,1.20983191819,-0.0953327359585,-0.266392802019,1.06663236257,-0.0450591829053,-0.287001940433,1.01237788318,0.170587138803,0.0339507560915,1.35597674686,0.224693066831,-0.198057977792,1.33071074911,0.191276687707,-0.277358473083,1.12912022996,0.170061788939,-0.28629236803,1.06695968613,-0.0747571489819,-0.416859448047,1.3573374104,-0.198455983205,-0.463611071586,0.971793773556,-0.326909600459,-0.524829677082,0.597993179551,-0.296061875672,-0.515354446629,0.454562115593,0.0589058294784,-0.425132108357,1.37345786172,0.291560045298,-0.474141727593,0.986069473767,0.462246204537,-0.524847399687,0.697770834678,0.485254646519,-0.517021441201,0.561262395237,-0.00281742970441,0.0898555706646,1.32168862158,0.00332761104325,-0.309886883474,0.975508498998,-0.0376232651165,-0.288315159988,1.00230738428,0.149564373055,-0.296121981537,1.01789861796,0.159236852687,-0.286466212677,1.05138677038,0.778788323309,0.780988704709,0.0732235331467,0.491707336972,0.000130801471811,0.145580708132,95.5625641778,4175.84947565,4175.30846333,4245.55518689,4197.82768635,4190.8712801,4197.48201105,4227.06770485,4196.89423108,4152.95401343,4171.38660908,4189.5015115,4194.21799239,4223.61148444,4179.35482794,2036.03036526,2010.99726175,513.066594641,0.0,0.0,0.0,0.0,0.549718679478,0.0,0.332926784265,0.0,0.996968363405
std,295.685878431,0.0,0.0,0.0,0.107027744486,5.5109113498,28367.5348501,7.67040696893,12.8299682446,14.8685179498,9.300346576,8.6084606454,10.0159959251,8.78920303207,5.79387868711,0.385206932831,0.40308329544,1.77948526598,0.302769416929,0.264674887332,0.242401772341,0.53681829923,0.460082888186,0.561225114038,295.690113143,463.990295182,152.220498515,483.253247324,153.642018963,478.112045006,167.19747816,462.484357001,173.346435851,479.150346638,174.55735243,366.434435493,408.617511335,134.723774953,169.938017441,7.19589006387,21.7911254786,17.8937131305,0.515563635877,0.298977816001,0.800911216647,1.03012230909,0.932171533523,0.660887350538,0.802270329607,0.91082355969,0.0680248525941,0.0581444379507,0.0489295421615,0.0732148430195,0.0807136534451,0.0829289746118,0.0833750495904,0.101515028494,0.143280277803,0.103213455715,0.125602445933,0.161969045093,0.0804758286296,0.0831704525434,0.0907248806567,0.078875920445,0.0884976823731,0.0880260374224,0.0859469335652,0.121079369686,0.107622289095,0.0931673943593,0.1370791766,0.124914312253,0.0768763121858,0.0898864165586,0.121540448297,0.0824149269683,0.0858338911127,0.125329535012,0.137413682758,0.114533014756,0.156715835771,0.165033839126,0.12947175986,0.176290901957,0.0698740233339,0.0575160136853,0.0494159178914,0.0686305917283,0.0380913871715,0.052722084734,0.137368754969,0.102700715682,0.0894848726607,0.132486777635,0.0925781775273,0.0920484177179,0.0639643825885,0.0568233646983,0.0501095209145,0.113495911539,0.0606790277562,0.0790859560468,0.191403331593,0.121478692851,0.109019290212,0.190262462953,0.117626684499,0.11450278145,0.0806110782381,0.0966177307263,0.127409620286,0.104160344913,0.157622007287,0.131206956529,0.0973190975807,0.145170906857,0.132307081773,0.195218064964,0.145782421946,0.183822662921,0.171253899301,0.135620819645,0.175097874206,0.775519019349,0.718190078033,0.222858776506,0.38766194631,0.0937165398317,0.345892945444,41.5862027495,2416.77836744,2434.59546902,2441.20815065,2416.13539942,2405.74173109,2396.70030952,2430.93369511,2420.65058904,2417.99392293,2424.14940992,2434.90122799,2409.1886602,2421.62226816,2433.83472917,1186.49583767,1190.20406,295.688990409,0.0,0.0,0.0,0.0,0.0106881460815,0.0,0.00403266398316,0.0,0.0549781190221
min,0.795184,1.0,1.0,0.0,0.0,-99.0,0.0,-91.0,-102.0,-122.0,-81.0,-120.0,-98.0,-108.0,-91.0,-2.77213,-1.49109,-3.14157,-2.16699,-1.03271,-1.04492,-8.10596,-7.25075,-4.33932,0.897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.0,-74.0,-44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.218719,-0.57776,1.25976,-0.241172,-0.310356,1.17874,-0.262635,-0.058842,1.00759,-0.333622,-0.0167034,0.962076,-0.42625,-0.165202,1.06952,-0.482448,-0.386094,0.961705,-0.446371,-0.513334,0.818707,-0.452651,-0.571724,0.767757,-0.0740212,-0.207913,1.09769,-0.0307014,-0.414631,1.0755,-0.102018,-0.553744,0.858064,-0.151834,-0.603241,0.752484,-0.276673,-0.558952,1.22419,-0.412365,-0.74412,0.805406,-0.638069,-1.07042,0.420004,-0.623521,-1.07141,0.27027,-0.1538,-0.576855,1.22578,-0.226794,-0.793353,0.764473,-0.436545,-1.1139,0.419359,-0.347402,-1.14551,0.272811,-0.257813,-0.120054,1.05409,-0.474093,-0.648588,0.730561,-0.487638,-0.571893,0.751781,-0.183724,-0.654338,0.712929,-0.195383,-0.605631,0.733714,0.0,0.0,-0.677957,-0.52127,-0.308336,0.0,0.0,0.512821,2.05128,1.02564,0.0,1.02564,0.512821,1.02564,0.0,0.0,0.512821,0.0,1.53846,0.0,0.0,0.0,0.0,0.963,0.0,0.0,0.0,0.0,0.548642,0.0,0.259667,0.0,0.0
25%,256.806,1.0,1.0,0.0,0.0,-69.0,0.0,-3.0,-5.0,-6.0,-5.0,-5.0,-4.0,-4.0,-3.0,-0.5820385,-0.7987175,-1.460335,0.259766,-0.50293,0.554688,-0.196895,-0.126536,-0.135263,256.899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914.0,1032.0,204.0,318.0,-6.0,-22.0,-39.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0573702,-0.49184,1.372775,-0.05844365,-0.222431,1.296075,-0.05927325,0.04583205,1.158315,-0.0324891,0.123097,1.12009,-0.220926,-0.0289391,1.18582,-0.290912,-0.222499,1.151955,-0.142582,-0.3456875,0.9871825,-0.09629395,-0.3747325,0.9103175,0.120266,-0.0572588,1.24171,0.173172,-0.271656,1.23289,0.0938178,-0.363626,1.015225,0.0518643,-0.372155,0.926541,-0.1264955,-0.4764965,1.32698,-0.2458865,-0.4689025,0.947453,-0.4184555,-0.5769865,0.553584,-0.380807,-0.554287,0.4100625,0.01354385,-0.47927,1.346115,0.236773,-0.4733515,0.9469045,0.3624245,-0.5439405,0.61824,0.3887115,-0.5230995,0.4819955,-0.0590629,-0.0206207,1.196945,-0.04713175,-0.4093955,0.867468,-0.0872395,-0.3878425,0.89176,0.004965345,-0.3858035,0.8687085,0.03652925,-0.383374,0.91462,0.0,0.0,-0.0755841,0.148183,0.0,0.0,62.0,2084.875,2051.285,2121.54,2091.79,2138.46,2176.665,2120.0,2116.665,2045.13,2087.69,2085.385,2110.26,2121.54,2082.56,1002.0,987.0,256.984,0.0,0.0,0.0,0.0,0.548642,0.0,0.333333,0.0,1.0
50%,512.978,1.0,1.0,0.0,0.0,-65.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.422723,-0.444066,-0.055356,0.438477,-0.35791,0.753906,0.0,-0.0109083,0.00109083,513.064,1006.15,250.726,1054.76,253.48,1043.38,283.997,1006.44,307.551,1049.33,310.46,982.0,1102.0,226.0,341.0,0.0,-1.0,-23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.0203106,-0.407209,1.39686,-0.0115505,-0.08441,1.36632,-0.0101515,0.216144,1.3328,0.0252012,0.324956,1.31008,-0.168987,0.107035,1.2571,-0.249036,-0.141038,1.19859,-0.098978,-0.297963,1.06581,-0.0440703,-0.310493,0.999154,0.166149,0.0794321,1.36857,0.214124,-0.182129,1.30881,0.146435,-0.294354,1.09304,0.109624,-0.298194,1.03076,-0.0861891,-0.391802,1.3534,-0.212995,-0.457395,0.9626,-0.360907,-0.524043,0.584537,-0.332059,-0.503995,0.440423,0.0496097,-0.401972,1.36786,0.319508,-0.461263,0.991243,0.513077,-0.496695,0.713757,0.542634,-0.484438,0.57839,-0.00977695,0.142628,1.34396,0.00468835,-0.326394,0.951989,-0.0380998,-0.313985,0.985727,0.0732318,-0.298271,0.979396,0.104576,-0.293521,1.01726,1.0,1.0,0.0532502,0.384618,0.0,0.0,127.0,4114.36,4170.77,4276.92,4191.79,4177.95,4152.31,4229.23,4170.77,4127.18,4137.95,4180.0,4222.05,4247.18,4169.74,2027.0,2005.0,513.11,0.0,0.0,0.0,0.0,0.548642,0.0,0.333333,0.0,1.0
75%,768.9295,1.0,1.0,0.0,0.0,-61.0,0.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,-0.1989505,-0.2717715,1.46076,0.727539,-0.131592,0.884277,0.186532,0.101447,0.1118105,769.046,1076.84,282.661,1118.83,286.179,1108.695,321.5055,1073.355,340.401,1109.245,342.836,1040.0,1158.0,272.0,387.0,1.0,6.0,-4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0382691,-0.388737,1.419175,0.04162595,-0.0662203,1.40757,0.05139115,0.2437885,1.405115,0.102514,0.3730705,1.40058,-0.11069,0.1270795,1.315705,-0.2092475,-0.0947834,1.25803,-0.0525928,-0.202158,1.13032,0.001012005,-0.2280085,1.09178,0.22064,0.105944,1.43429,0.271835,-0.131346,1.415475,0.264688,-0.1924055,1.210685,0.26087,-0.1969825,1.163045,-0.0263303,-0.374199,1.3781,-0.162133,-0.449028,0.983684,-0.260949,-0.441835,0.61308,-0.2358815,-0.4548815,0.468958,0.1018765,-0.383024,1.39062,0.3650055,-0.450343,1.01017,0.5943075,-0.4441175,0.7601905,0.614353,-0.4524515,0.623062,0.04892135,0.1683665,1.40732,0.05930985,-0.251028,1.06412,0.0156104,-0.2180535,1.08586,0.2630365,-0.2018775,1.108735,0.256123,-0.1964425,1.150975,1.0,1.0,0.204185,1.0,0.0,0.0,128.0,6281.03,6297.695,6381.795,6301.795,6249.23,6257.44,6342.56,6270.77,6238.465,6263.845,6295.64,6290.77,6311.79,6301.54,3071.0,3029.0,769.107,0.0,0.0,0.0,0.0,0.548642,0.0,0.333333,0.0,1.0
max,1022.78,1.0,1.0,0.0,1.0,-45.0,65535.0,89.0,117.0,127.0,85.0,115.0,92.0,84.0,121.0,2.9773,1.08355,3.14138,2.02246,1.25684,1.4458,7.28893,6.79151,4.63385,1025.09,1376.28,614.263,1412.01,629.064,1394.03,642.369,1349.99,666.719,1395.73,676.156,1306.0,1432.0,591.0,716.0,96.0,87.0,43.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.356378,-0.293565,1.69871,0.373982,0.00474877,1.731,0.392583,0.325575,1.76534,0.4433,0.444014,1.81154,0.222663,0.216802,1.75258,0.303452,0.390548,1.87561,0.422493,0.590388,1.63572,0.456254,0.635946,1.61217,0.545805,0.338438,1.82774,0.675365,0.133429,1.90638,0.722709,0.253913,1.78068,0.829515,0.323966,1.75222,0.283499,-0.277903,1.66051,0.388174,-0.196572,1.44276,0.529409,-0.255947,1.4315,0.569895,-0.30189,1.31857,0.412571,-0.290633,1.68442,0.646414,-0.0476481,1.61179,0.871537,-0.306269,1.6279,0.920779,-0.292449,1.47183,0.385313,0.246855,1.75829,0.504764,0.676143,1.64132,0.492471,0.668177,1.60625,0.910127,0.398832,1.73727,0.848288,0.342604,1.745,4.0,4.0,1.0,1.0,0.82385,1.0,128.0,8401.03,8400.0,8401.03,8401.03,8400.0,8401.54,8401.03,8401.03,8401.54,8400.51,8400.0,8401.54,8401.03,8401.54,4095.0,4095.0,1025.14,0.0,0.0,0.0,0.0,0.743886,0.0,0.333333,0.0,1.0
